platform,komentar,timestamp,komentar_clean
YouTube,Baru kali ini sekelompok jaksa bejat kalah dgn konten kreator.,2026-04-18 12:13:34,baru kali kelompok jaksa bejat kalah dgn konten kreator
YouTube,"KPK saatnya periksa semua Jaksa di Indonesia. Capek"" tangkap koruptor jaksanya temen sendiri",2026-04-18 12:13:34,kpk saat periksa semua jaksa indonesia capek tangkap koruptor jaksa temen sendiri
YouTube,No viral no justice. Itulah hukum bobrok di negara Indonesia.,2026-04-18 12:13:34,no viral no justice hukum bobrok negara indonesia
YouTube,"Sumut terkenal akan kejahatan, seperti maling, begal. Bahkan pejabat daerahnya jg maling.. dua kali berturut-turut gubernur nya korupsi wali kota Medan jg terlibat berturut turut korupsi..... Itu Masi yg terbukti kemungkinan Masi banyak yg belum terungkap... Dan para jaksa yg menangani kasus amsal Sitepu harus di periksa dan harus di pecat jika terbukti melakukan kesalahan besar.",2026-04-18 12:13:34,sumut kenal jahat maling begal bahkan jabat daerah jg maling kali berturutturut gubernur nya korupsi wali kota medan jg libat turut turut korupsi mas yg bukti mungkin mas banyak yg ungkap para jaksa yg tangan kasus amsal sitepu periksa harus di pecat bukti laku salah besar
YouTube,Hikmah buat Bang Amsal bisa lebih dikenal publik dan akibat KETOLOLAN SEJUMLAH OKNUM bisa MEMBUKA KEBOBROKAN yang lebih luas ,2026-04-18 12:13:34,hikmah buat bang amsal lebih kenal publik akibat tolol jumlah oknum buka bobrok lebih luas
YouTube,"Saya kaget ketika buka AMSAL 1 AYAT 31 "" maka mereka akan memakan buah perbuatan mereka, dan menjadi kenyang oleh rencana mereka """,2026-04-18 12:13:34,kaget buka amsal ayat makan buah buat dan jadi kenyang rencana mereka
YouTube,Bang amsal percayalah abis ini nama mu akan makin besar dan di berkati tuhan.....aminnnn,2026-04-18 12:13:34,bang amsal percaya abis nama mu makin besar di berkat tuhanaminnnn
YouTube,"Bang densu,undang pakar hukum pidana UI Gandjar Laksmana Bonaprapta dong.  Edukasi soal hukum pidana,supaya tau hak kita ketika. Di panggil polisi. Kapan panggil lawyer. Prosedur penangkapan.  Ini penting jangan sampai kejadian lagi kayak dulu ditangkap,pergi punya nyawa,pulang gak ada nyawa.",2026-04-18 12:13:34,bang densuundang pakar hukum pidana ui gandjar laksmana bonaprapta dong edukasi soal hukum pidanasupaya tau hak ketika panggil polisi kapan panggil lawyer prosedur tangkap penting jangan jadi kayak dulu ditangkappergi punya nyawapulang gak nyawa
YouTube,"Bener kata prof mahfud, Gaji jaksa naik 280 persen bukan solusi",2026-04-18 12:13:34,bener kata prof mahfud gaji jaksa naik persen bukan solusi
YouTube,"Dibalik crita² lucu di video ini tetap sih kejaksaannya harus di evaluasi bener², ngeri bgt gtu main tersangka² kan org aja seenaknya",2026-04-18 12:13:34,balik crita lucu video tetap sih jaksa di evaluasi bener ngeri bgt gtu main sangka kan org aja enak
YouTube,"Jaksa pelenger, ginian aja dipenjara, noh anggaran gorden dpr 48 miliar napa g diusut",2026-04-18 12:13:34,jaksa pelenger ginian aja penjara noh anggar gorden dpr miliar napa g usut
YouTube,Masa yg udah hancurin hidup org kek gini hanya minta maaf aja... Gak adil!!!,2026-04-18 12:13:34,masa yg udah hancurin hidup org kek gin minta maaf aja gak adil
YouTube,"Bang Den, mohon undang Hakimnya dong, Karena Logikanya sangat BAGUS",2026-04-18 12:13:34,bang den mohon undang hakim dong logika sangat bagus
YouTube,"Terharu denger Bang Amsal bilang ""penjara hanya mengurung badan, tapi tidak fikiran"" 18:51.   Mentaliti seorang pemenang! Walaupun dikhianati sistem, dia tetap pilih untuk memaafkan.  Sangat menginspirasikan.",2026-04-18 12:13:34,haru denger bang amsal bilang penjara urung badan tidak fikiran mentaliti orang menang walaupun khianat sistem tetap pilih maaf sangat inspirasi
YouTube,Kalo ga viral ga bakal gini..,2026-04-18 12:13:34,kalo ga viral ga bakal gin
YouTube,Penegak2 hukum sungguh biadab!!! Orang tidak salah apa2 direkayasa dan diproses hukum dan dijebloskan ke dalam sel dijadikan binatang. Benar2 biadab!!!!,2026-04-18 12:13:34,tegak hukum sungguh biadab orang salah apa rekayasa proses hukum jeblos dalam sel jadi binatang benar biadab
YouTube,"Harusnya di buat UU untuk para penengak hukum yg salah tangkap,salah proses,salah vonis dll..dan hukumnya 10x lipat agar tidak ada kriminalisasi dan semena2..",2026-04-18 12:13:34,harus buat uu para tengak hukum yg salah tangkapsalah prosessalah vonis dlldan hukum x lipat tidak kriminalisasi semena
YouTube,Gimana g ofer kapasitas orang yg g salah aja di jeblosin  bangsat emang ini para pejabat  korup,2026-04-18 12:13:34,gimana g ofer kapasitas orang yg g salah aja jeblosin bangsat emang para jabat korup
YouTube,"Keren kau bang, jiwa besarmu keren kali. Ga kau ""hajar"" mereka yang masukkan kau ke penjara. Padahal, kalo abang tampil terus di media², pasti melejit namamu, viral, usaha rumah makanmu pasti laris manis. Tapi abang ga mau itu, cukup di Densu aja tampilnya. Karena abang bilang udah menang ketika sudah bebas, kebebasan itu udah cukup katamu, keren kau bang Amsal, salut aku.",2026-04-18 12:13:34,keren kau bang jiwa besar keren kali ga kau hajar yang masuk kau penjara padahal kalo abang tampil terus media lejit nama viral usaha rumah makan laris manis abang ga mau cukup densu aja tampil abang bilang udah menang sudah bebas bebas udah cukup kata keren kau bang amsal salut aku
YouTube,Masih byk amsal lain... Dan banyak ketidak adilan di indonesia .. Dan pasti hampir di semua kejaksaan byk okum2 spt ini,2026-04-18 12:13:34,byk amsal banyak tidak adil indonesia dan pasti hampir semua jaksa byk okum spt
YouTube,Netizen harus kompak menuntut jpu nya harus dipidana. Enak aja menyalahgunakan kewenangan yg merenggut kemerdekaan orang lain hanya kena sanksi administrasi.,2026-04-18 12:13:34,netizen kompak tuntut jpu nya pidana enak aja menyalahgunakan wenang yg renggut merdeka orang hanya kena sanksi administrasi
YouTube,"Anak muda keren Salut sama mu bg bro. Kuat, berintegritas, inovatif dan yg terpenting takut sama Tuhan. Seharusnya masyarakat Karo orang seperti ini yg di bantu untk jadi pemimpin di masa depan. Kita perlu orang seperti ini untk memperbaiki dan merubah daerah kita. Orang yg cinta dengan daerah nya,  Mejuah Juah  Salam dari Simalungun putra Pujakesuma ",2026-04-18 12:13:34,anak muda keren salut sama mu bg bro kuat integritas inovatif yg penting takut sama tuhan masyarakat karo orang ini yg bantu untk jadi pimpin masa depan perlu orang ini untk baik rubah daerah orang yg cinta daerah nya mejuah juah salam simalungun putra pujakesuma
YouTube,wajib di pecat dengan tidak terhormat ini oknum jaksa,2026-04-18 12:13:34,wajib pecat tidak hormat oknum jaksa
